frame_index,time_s,detected,x_px,y_px,x_smooth_px,y_smooth_px,red_area_px,component_count
0,0.0,True,455.1574074074074,202.1851851851852,453.70854271356785,201.8140703517588,216,7
1,0.03333333333333333,True,453.70854271356785,201.8140703517588,453.04833528372455,201.999627768472,199,7
2,0.06666666666666667,True,452.38812785388126,201.75342465753425,452.38812785388126,202.1851851851852,219,7
3,0.1,True,451.9672897196262,204.20093457943926,451.9672897196262,204.20093457943926,214,7
4,0.13333333333333333,True,451.6256157635468,207.26108374384236,451.6256157635468,206.55026455026456,203,7
5,0.16666666666666666,True,449.4021164021164,206.55026455026456,450.0639534883721,207.26108374384236,189,7
6,0.2,True,450.0639534883721,210.66860465116278,449.4021164021164,210.66860465116278,172,7
7,0.23333333333333334,True,448.59537572254334,211.6936416184971,449.4021164021164,211.6936416184971,173,7
8,0.26666666666666666,True,448.5783783783784,213.16216216216216,450.01025641025643,213.16216216216216,185,7
9,0.3,True,450.01025641025643,218.26153846153846,450.01025641025643,218.26153846153846,195,7
10,0.3333333333333333,True,450.4130434782609,219.7173913043478,450.4130434782609,219.7173913043478,184,7
11,0.36666666666666664,True,451.80337078651684,223.62359550561797,451.80337078651684,223.62359550561797,178,7
12,0.4,True,452.42134831460675,224.4494382022472,452.42134831460675,224.4494382022472,178,7
13,0.43333333333333335,True,453.3433734939759,226.36746987951807,453.3433734939759,225.14,166,7
14,0.4666666666666667,True,453.67333333333335,225.14,453.67333333333335,226.36746987951807,150,7
15,0.5,True,455.01234567901236,232.0185185185185,455.01234567901236,229.7530864197531,162,7
16,0.5333333333333333,True,455.49295774647885,230.4718309859155,455.49295774647885,230.4718309859155,142,7
17,0.5666666666666667,True,455.9259259259259,229.7530864197531,455.9259259259259,232.0185185185185,162,7
18,0.6,True,457.0408163265306,242.53061224489795,456.9856115107914,236.23741007194243,147,7
19,0.6333333333333333,True,456.9856115107914,236.23741007194243,457.0408163265306,237.77639751552795,139,7
20,0.6666666666666666,True,457.3726708074534,237.77639751552795,457.2091503267974,238.98692810457516,161,7
21,0.7,True,457.2091503267974,238.98692810457516,457.2091503267974,238.98692810457516,153,7
22,0.7333333333333333,True,457.39766081871346,242.7251461988304,457.2091503267974,241.57777777777778,171,7
23,0.7666666666666667,True,455.8192771084337,244.83734939759037,455.8192771084337,242.7251461988304,166,7
24,0.8,True,455.15555555555557,241.57777777777778,455.2157894736842,244.83734939759037,180,7
25,0.8333333333333334,True,455.2157894736842,251.17368421052632,455.15555555555557,249.28140703517587,190,7
26,0.8666666666666667,True,453.11557788944725,249.28140703517587,453.11557788944725,251.17368421052632,199,7
27,0.9,True,452.89005235602093,253.18324607329842,452.89005235602093,251.17368421052632,191,7
28,0.9333333333333333,True,452.6473429951691,251.56038647342996,452.6473429951691,251.56038647342996,207,7
29,0.9666666666666667,True,450.20348837209303,249.16860465116278,450.20348837209303,252.79187817258884,172,7
30,1.0,True,449.8629441624365,252.79187817258884,449.8629441624365,252.79187817258884,197,7
31,1.0333333333333334,True,447.3681592039801,253.54726368159203,447.3681592039801,253.54726368159203,201,7
32,1.0666666666666667,True,445.03225806451616,255.30107526881721,445.65238095238095,255.30107526881721,186,7
33,1.1,True,445.65238095238095,256.5238095238095,445.03225806451616,256.5238095238095,210,7
34,1.1333333333333333,True,443.94444444444446,257.479797979798,444.8557213930348,257.479797979798,198,7
35,1.1666666666666667,True,444.8557213930348,258.4029850746269,443.94444444444446,257.479797979798,201,7
36,1.2,True,443.30348258706465,258.6467661691542,443.94444444444446,258.4029850746269,201,7
37,1.2333333333333334,True,427.9114583333333,251.140625,443.30348258706465,258.6467661691542,192,8
38,1.2666666666666666,True,444.53694581280786,263.8817733990148,443.1764705882353,261.23333333333335,203,7
39,1.3,True,441.02222222222224,261.23333333333335,443.1764705882353,263.8817733990148,180,7
40,1.3333333333333333,True,443.1764705882353,264.9732620320856,444.53694581280786,264.9732620320856,187,7
41,1.3666666666666667,True,449.9596412556054,272.6591928251121,449.9596412556054,272.6591928251121,223,7
42,1.4,True,452.9685863874345,276.24607329842934,450.6612021857924,272.9945355191257,191,7
43,1.4333333333333333,True,450.6612021857924,272.9945355191257,450.6612021857924,272.9945355191257,183,7
44,1.4666666666666666,True,453.10215053763443,275.4301075268817,452.47798742138366,273.0817610062893,186,7
45,1.5,True,450.38926174496646,270.6241610738255,452.47798742138366,273.0817610062893,149,7
46,1.5333333333333334,True,452.47798742138366,273.0817610062893,453.10215053763443,275.4301075268817,159,7
47,1.5666666666666667,True,457.57142857142856,279.2402597402597,457.57142857142856,279.2402597402597,154,7
48,1.6,True,461.83240223463685,285.0670391061453,461.1566265060241,282.06024096385545,179,7
49,1.6333333333333333,True,462.225,284.85625,461.1566265060241,282.06024096385545,160,7
50,1.6666666666666667,True,461.1566265060241,282.06024096385545,461.23125,282.06024096385545,166,7
51,1.7,True,460.80555555555554,280.5,461.23125,282.06024096385545,144,7
52,1.7333333333333334,True,461.23125,280.70625,461.23125,282.06024096385545,160,7
53,1.7666666666666666,True,464.7151515151515,287.03636363636366,464.7151515151515,287.03636363636366,165,7
54,1.8,True,468.34730538922156,292.4670658682635,466.2189349112426,289.2544378698225,167,7
55,1.8333333333333333,True,467.1524390243902,291.2865853658537,467.1524390243902,291.2865853658537,164,7
56,1.8666666666666667,True,466.2189349112426,289.2544378698225,467.1524390243902,291.2865853658537,169,7
57,1.9,True,469.01657458563534,296.1988950276243,467.0670391061453,291.2865853658537,181,7
58,1.9333333333333333,True,455.42051282051284,288.1128205128205,466.40983606557376,296.1988950276243,195,8
59,1.9666666666666666,True,467.0670391061453,297.45251396648047,467.0670391061453,297.45251396648047,179,7
60,2.0,True,466.40983606557376,298.72677595628414,467.0670391061453,298.72677595628414,183,7
61,2.033333333333333,True,467.24867724867727,300.22222222222223,467.24867724867727,300.22222222222223,189,7
62,2.066666666666667,True,468.07462686567163,301.9850746268657,467.24867724867727,301.9850746268657,201,7
63,2.1,True,467.7113402061856,302.0515463917526,467.24867724867727,302.0515463917526,194,7
64,2.1333333333333333,True,465.93,304.355,466.16751269035535,304.355,200,7
65,2.1666666666666665,True,466.16751269035535,307.26395939086296,465.93,305.25118483412325,197,7
66,2.2,True,465.54028436018956,305.25118483412325,465.54028436018956,305.25906735751295,211,7
67,2.2333333333333334,True,464.0880829015544,305.25906735751295,465.3875598086124,306.1642512077295,193,7
