frame_index,time_s,detected,x_px,y_px,x_smooth_px,y_smooth_px,red_area_px,component_count
0,0.0,True,666.7990654205607,191.1448598130841,667.7777777777778,191.1448598130841,214,7
1,0.03333333333333333,True,667.7777777777778,190.12626262626262,667.2884215991693,190.86702450113665,198,7
2,0.06666666666666667,True,668.828125,191.59895833333334,666.7990654205607,191.1448598130841,192,7
3,0.1,True,664.4162162162162,190.5891891891892,664.4162162162162,191.59895833333334,185,7
4,0.13333333333333333,True,663.5294117647059,192.72727272727272,663.7205882352941,192.72727272727272,187,7
5,0.16666666666666666,True,662.3529411764706,193.6764705882353,663.7205882352941,193.6764705882353,204,7
6,0.2,True,663.7205882352941,193.90686274509804,663.7205882352941,193.90686274509804,204,7
7,0.23333333333333334,True,667.7280334728033,195.30962343096235,663.7205882352941,195.30962343096235,239,7
8,0.26666666666666666,True,664.9567307692307,196.40384615384616,663.7205882352941,196.40384615384616,208,7
9,0.3,True,662.3141361256545,196.9476439790576,662.3141361256545,196.9476439790576,191,7
10,0.3333333333333333,True,656.1739130434783,197.8913043478261,659.8586956521739,197.8913043478261,184,7
11,0.36666666666666664,True,655.0736842105263,199.15263157894736,659.8586956521739,198.2445652173913,190,7
12,0.4,True,659.8586956521739,198.2445652173913,658.7603686635945,198.57920792079207,184,7
13,0.43333333333333335,True,662.3019801980198,198.57920792079207,658.7603686635945,198.71195652173913,202,7
14,0.4666666666666667,True,658.7603686635945,198.7557603686636,658.7603686635945,198.57920792079207,217,7
15,0.5,True,654.4184782608696,198.71195652173913,655.6345177664974,198.57920792079207,184,7
16,0.5333333333333333,True,654.8137254901961,197.61274509803923,655.6345177664974,197.61274509803923,204,7
17,0.5666666666666667,True,655.6345177664974,197.11675126903555,655.6345177664974,197.11675126903555,197,7
18,0.6,True,657.3623188405797,197.08695652173913,657.3623188405797,197.08695652173913,207,7
19,0.6333333333333333,True,663.2682926829268,196.87317073170732,657.6855670103092,196.87317073170732,205,7
20,0.6666666666666666,True,660.89592760181,192.4343891402715,657.6855670103092,194.72680412371133,221,8
21,0.7,True,657.6855670103092,194.72680412371133,660.89592760181,193.42564102564103,194,7
22,0.7333333333333333,True,655.5794871794872,193.42564102564103,660.89592760181,193.2710280373832,195,7
23,0.7666666666666667,True,664.1822429906542,193.2710280373832,657.6855670103092,193.2710280373832,214,7
24,0.8,True,662.0280373831775,192.49532710280374,658.4322916666666,192.49532710280374,214,7
25,0.8333333333333334,True,657.2753623188406,191.17874396135267,658.4322916666666,191.17874396135267,207,7
26,0.8666666666666667,True,658.4322916666666,190.875,657.2753623188406,190.875,192,7
27,0.9,True,655.0167597765363,190.19553072625698,657.2753623188406,190.19553072625698,179,7
28,0.9333333333333333,True,655.454081632653,189.76530612244898,657.353591160221,190.0782122905028,196,7
29,0.9666666666666667,True,657.353591160221,189.8232044198895,656.539603960396,189.8232044198895,181,7
30,1.0,True,657.9608938547486,190.0782122905028,656.9521276595744,189.8232044198895,179,7
31,1.0333333333333334,True,656.539603960396,189.63861386138615,656.9521276595744,189.8232044198895,202,7
32,1.0666666666666667,True,656.9521276595744,190.65425531914894,656.539603960396,190.0782122905028,188,7
33,1.1,True,655.2774869109948,189.7958115183246,655.7892156862745,190.65425531914894,191,7
34,1.1333333333333333,True,654.5223880597015,191.01990049751242,655.7892156862745,191.01990049751242,201,7
35,1.1666666666666667,True,655.7892156862745,191.70098039215685,655.2774869109948,191.69230769230768,204,7
36,1.2,True,657.4038461538462,191.69230769230768,654.5223880597015,191.70098039215685,208,7
37,1.2333333333333334,True,652.7234042553191,192.1191489361702,652.7234042553191,192.1191489361702,235,7
38,1.2666666666666666,True,652.5463414634146,193.0731707317073,652.7234042553191,193.0731707317073,205,7
39,1.3,True,647.9245283018868,193.92924528301887,652.7234042553191,193.92924528301887,212,7
40,1.3333333333333333,True,655.4266666666666,195.63555555555556,652.5463414634146,195.63555555555556,225,7
41,1.3666666666666667,True,653.345,195.91,653.345,195.91,200,7
42,1.4,True,647.2821782178218,197.05940594059405,653.345,197.05940594059405,202,7
43,1.4333333333333333,True,654.0926829268293,197.45853658536586,653.345,197.05940594059405,205,7
44,1.4666666666666666,True,646.968085106383,198.11702127659575,653.4050632911392,197.45853658536586,188,7
45,1.5,True,661.6126126126126,192.6081081081081,653.4050632911392,198.08290155440415,222,8
46,1.5333333333333334,True,653.4050632911392,198.27426160337552,651.0673575129533,198.11702127659575,237,7
47,1.5666666666666667,True,651.0673575129533,198.08290155440415,651.0673575129533,198.08290155440415,193,7
48,1.6,True,648.40625,198.21875,651.0673575129533,198.08290155440415,224,7
49,1.6333333333333333,True,647.8457711442786,196.8855721393035,648.40625,196.8855721393035,201,7
50,1.6666666666666667,True,654.7511111111111,195.70222222222222,648.40625,195.70222222222222,225,7
51,1.7,True,648.1095238095238,195.67619047619047,648.1095238095238,195.67619047619047,210,7
52,1.7333333333333334,True,652.8981481481482,195.67592592592592,648.1095238095238,195.67592592592592,216,7
53,1.7666666666666666,True,644.2385321100918,194.1605504587156,646.0093457943925,194.1605504587156,218,7
54,1.8,True,646.0093457943925,193.19626168224298,646.0093457943925,193.19626168224298,214,7
55,1.8333333333333333,True,645.7412935323383,192.5174129353234,646.0093457943925,192.5174129353234,201,7
56,1.8666666666666667,True,647.9739130434782,191.51739130434783,647.8767772511849,191.51739130434783,230,7
57,1.9,True,649.51,190.43,647.8767772511849,190.43,200,7
58,1.9333333333333333,True,647.8767772511849,189.88151658767774,647.8767772511849,189.88151658767774,211,7
59,1.9666666666666666,True,645.4271844660194,188.6990291262136,645.4271844660194,188.6990291262136,206,7
60,2.0,True,644.3069306930693,188.4257425742574,645.4271844660194,188.565445026178,202,7
61,2.033333333333333,True,643.7197802197802,188.19230769230768,644.8474576271186,188.565445026178,182,7
62,2.066666666666667,True,645.9476439790576,188.565445026178,644.8474576271186,188.565445026178,191,7
63,2.1,True,644.8474576271186,189.38418079096044,644.8474576271186,188.565445026178,177,7
64,2.1333333333333333,True,647.0,188.70652173913044,645.9476439790576,188.70652173913044,184,7
65,2.1666666666666665,True,644.7462686567164,187.9402985074627,647.0,188.9558823529412,201,7
66,2.2,True,647.0546448087432,189.75956284153006,647.0,188.86069651741295,183,7
67,2.2333333333333334,True,647.9264705882352,188.9558823529412,644.7462686567164,188.9408866995074,204,7
68,2.2666666666666666,True,642.820895522388,188.86069651741295,642.820895522388,188.9558823529412,201,7
69,2.3,True,640.4433497536946,188.9408866995074,640.4433497536946,188.9558823529412,203,7
70,2.3333333333333335,True,636.7878787878788,189.40404040404042,639.4305555555555,189.40404040404042,198,7
71,2.3666666666666667,True,634.065934065934,191.71428571428572,636.7878787878788,191.71428571428572,182,7
72,2.4,True,639.4305555555555,191.79166666666666,636.7878787878788,191.79166666666666,216,7
73,2.433333333333333,True,634.6923076923077,193.5,635.4682926829269,193.5,208,7
74,2.466666666666667,True,637.1696428571429,194.92857142857142,635.4682926829269,194.92857142857142,224,7
75,2.5,True,635.4682926829269,195.95609756097562,634.6923076923077,195.95609756097562,205,7
76,2.533333333333333,True,632.6439024390244,196.9658536585366,635.4682926829269,196.9658536585366,205,7
77,2.566666666666667,True,631.8858695652174,197.32065217391303,634.2815533980582,197.32065217391303,184,7
78,2.6,True,637.6009174311927,197.78899082568807,634.2815533980582,197.39805825242718,218,7
79,2.6333333333333333,True,634.2815533980582,197.39805825242718,635.8772727272727,197.39805825242718,206,7
80,2.6666666666666665,True,636.478947368421,197.65263157894736,635.8772727272727,197.39805825242718,190,7
81,2.7,True,635.8772727272727,197.00454545454545,634.2815533980582,197.00454545454545,220,7
82,2.7333333333333334,True,633.3236714975845,196.42995169082127,633.3236714975845,196.42995169082127,207,7
83,2.7666666666666666,True,629.1522842639594,195.76649746192894,633.3236714975845,195.78403755868544,197,7
84,2.8,True,630.9389671361503,195.78403755868544,633.3236714975845,195.76649746192894,213,7
85,2.8333333333333335,True,634.0350877192982,194.69298245614036,631.5181818181818,194.69298245614036,228,7
86,2.8666666666666667,True,634.4214876033058,194.06611570247935,631.5181818181818,194.06611570247935,242,7
87,2.9,True,631.5181818181818,192.3409090909091,631.5181818181818,192.3409090909091,220,7
88,2.933333333333333,True,627.3962264150944,191.49528301886792,631.5181818181818,191.49528301886792,212,7
89,2.966666666666667,True,631.1659192825113,190.51121076233184,631.1659192825113,190.51121076233184,223,7
90,3.0,True,633.1304347826087,189.99604743083003,628.1666666666666,189.99604743083003,253,7
91,3.033333333333333,True,627.555023923445,188.39712918660288,631.1659192825113,188.48979591836735,209,7
92,3.066666666666667,True,628.1666666666666,187.45454545454547,632.7135135135135,188.39712918660288,198,7
93,3.1,True,633.1632653061224,188.48979591836735,629.807881773399,187.9081081081081,196,7
94,3.1333333333333333,True,632.7135135135135,187.9081081081081,631.5141242937854,187.82485875706215,185,7
95,3.1666666666666665,True,629.807881773399,186.80295566502463,631.5141242937854,187.82485875706215,203,7
96,3.2,True,631.5141242937854,187.82485875706215,631.4190476190477,187.82485875706215,177,7
97,3.2333333333333334,True,627.419689119171,187.01554404145077,629.807881773399,187.49514563106797,193,7
98,3.2666666666666666,True,631.4190476190477,187.86666666666667,630.3502538071066,187.49514563106797,210,7
99,3.3,True,627.8883495145631,187.49514563106797,627.8883495145631,187.49514563106797,206,7
100,3.3333333333333335,True,630.3502538071066,187.12690355329948,627.8883495145631,187.86666666666667,197,7
101,3.3666666666666667,True,624.3076923076923,187.8820512820513,626.9119170984455,187.8820512820513,195,7
102,3.4,True,624.2926829268292,188.28780487804877,625.5234042553192,188.27461139896374,205,7
103,3.433333333333333,True,626.9119170984455,188.27461139896374,625.4835680751173,188.28780487804877,193,7
104,3.466666666666667,True,625.5234042553192,189.67234042553193,625.5234042553192,189.5399061032864,235,7
105,3.5,True,625.4835680751173,189.5399061032864,626.9119170984455,189.67234042553193,213,7
106,3.533333333333333,True,630.49173553719,192.0909090909091,625.5234042553192,192.0909090909091,242,7
107,3.566666666666667,True,629.0927419354839,193.09274193548387,626.8520179372198,193.09274193548387,248,7
108,3.6,True,622.1808510638298,193.40425531914894,626.8520179372198,193.40425531914894,188,7
109,3.6333333333333333,True,626.8520179372198,194.23766816143498,622.1808510638298,194.23766816143498,223,7
110,3.6666666666666665,True,619.9242424242424,195.3080808080808,622.1808510638298,194.76,198,7
111,3.7,True,614.935,194.76,619.9242424242424,195.04901960784315,200,7
112,3.7333333333333334,True,622.7211538461538,195.34134615384616,618.7794117647059,195.3080808080808,208,7
113,3.7666666666666666,True,618.7794117647059,195.04901960784315,617.757281553398,195.34134615384616,204,7
114,3.8,True,617.757281553398,195.3495145631068,617.757281553398,195.34134615384616,206,7
115,3.8333333333333335,True,611.9844559585492,195.6321243523316,617.757281553398,195.04901960784315,193,7
116,3.8666666666666667,True,612.5959595959596,193.73737373737373,617.4162679425838,193.78151260504202,198,7
117,3.9,True,622.9243697478992,193.78151260504202,617.4162679425838,193.73737373737373,238,7
118,3.933333333333333,True,617.4162679425838,192.6937799043062,617.4162679425838,193.0970464135021,209,7
119,3.966666666666667,True,620.9409282700421,193.0970464135021,617.4162679425838,192.6937799043062,237,7
120,4.0,True,617.0688073394496,191.0045871559633,617.4162679425838,191.0045871559633,218,7
121,4.033333333333333,True,616.0790697674419,189.43255813953488,620.9409282700421,191.00429184549355,215,7
122,4.066666666666666,True,629.1416309012875,191.00429184549355,621.209090909091,189.43255813953488,233,7
123,4.1,True,623.68,189.0088888888889,621.209090909091,189.0088888888889,225,7
124,4.133333333333334,True,621.209090909091,187.98636363636365,621.209090909091,187.98636363636365,220,7
125,4.166666666666667,True,616.256038647343,186.53140096618358,617.3961352657005,186.64734299516908,207,7
126,4.2,True,617.3961352657005,186.64734299516908,617.1370558375635,186.53140096618358,207,7
127,4.233333333333333,True,616.7234042553191,185.5159574468085,616.7234042553191,186.14720812182742,188,7
128,4.266666666666667,True,617.1370558375635,186.14720812182742,617.1370558375635,186.14720812182742,197,7
129,4.3,True,615.755980861244,185.17703349282297,617.1370558375635,186.14720812182742,209,7
130,4.333333333333333,True,617.855614973262,186.32085561497325,617.1370558375635,186.24519230769232,187,7
131,4.366666666666666,True,620.8413461538462,186.24519230769232,616.720207253886,186.32085561497325,208,7
132,4.4,True,616.720207253886,186.5336787564767,617.855614973262,186.36158192090394,193,7
133,4.433333333333334,True,616.1016949152543,186.36158192090394,616.720207253886,186.36158192090394,177,7
134,4.466666666666667,True,618.8333333333334,186.39583333333334,616.1016949152543,186.39583333333334,192,7
135,4.5,True,613.1914893617021,185.56914893617022,615.2995391705069,186.39583333333334,188,7
136,4.533333333333333,True,614.3233830845771,187.26865671641792,614.3233830845771,187.26865671641792,201,7
137,4.566666666666666,True,615.2995391705069,188.5668202764977,613.1914893617021,187.38144329896906,217,7
138,4.6,True,610.2522522522522,188.0855855855856,614.3233830845771,188.0855855855856,222,7
139,4.633333333333334,True,600.1958762886597,187.38144329896906,610.2522522522522,188.5668202764977,194,7
140,4.666666666666667,True,616.7176470588236,191.47450980392156,610.122641509434,191.3179723502304,255,7
141,4.7,True,606.926267281106,191.3179723502304,606.926267281106,191.47450980392156,217,7
142,4.733333333333333,True,610.122641509434,192.10377358490567,606.926267281106,192.10377358490567,212,7
143,4.766666666666667,True,606.1481481481482,192.75,606.926267281106,192.47027027027028,216,7
144,4.8,True,601.2540540540541,192.47027027027028,610.122641509434,192.66519823788545,185,7
145,4.833333333333333,True,611.7782258064516,193.68951612903226,607.866028708134,192.75,248,7
146,4.866666666666666,True,611.4361233480176,192.66519823788545,609.1232876712329,193.49771689497717,227,7
