frame_index,time_s,detected,x_px,y_px,x_smooth_px,y_smooth_px,red_area_px,component_count
0,0.0,True,207.5539033457249,216.31598513011153,208.29368029739777,215.8905109489051,269,7
1,0.03333333333333333,True,208.29368029739777,213.68029739776952,208.64136569614413,216.10324803950832,269,7
2,0.06666666666666667,True,208.9890510948905,215.8905109489051,208.9890510948905,216.31598513011153,274,7
3,0.1,True,209.61904761904762,218.21031746031747,209.61904761904762,218.21031746031747,252,7
4,0.13333333333333333,True,210.24814814814815,218.47407407407408,210.24814814814815,218.47407407407408,270,7
5,0.16666666666666666,True,210.65917602996254,222.1310861423221,210.65917602996254,222.1310861423221,267,7
6,0.2,True,210.6679841897233,223.67193675889328,210.65917602996254,222.40569395017795,253,7
7,0.23333333333333334,True,210.7544483985765,222.40569395017795,210.65917602996254,223.67193675889328,281,7
8,0.26666666666666666,True,209.79151943462898,225.36042402826854,210.6679841897233,223.67193675889328,283,7
9,0.3,True,209.2926045016077,230.66559485530547,209.79151943462898,225.36042402826854,311,7
10,0.3333333333333333,True,226.55445544554456,220.83168316831683,209.2926045016077,228.81647940074907,303,9
11,0.36666666666666664,True,207.11654135338347,231.89473684210526,207.11654135338347,230.66559485530547,266,7
12,0.4,True,205.92883895131087,228.81647940074907,207.11654135338347,231.89473684210526,267,7
13,0.43333333333333335,True,205.04983388704318,236.1295681063123,205.92883895131087,234.06306306306305,301,7
14,0.4666666666666667,True,211.0960960960961,234.06306306306305,205.04983388704318,236.1295681063123,333,8
15,0.5,True,202.47663551401868,237.23052959501558,202.47663551401868,236.3738019169329,321,7
16,0.5333333333333333,True,201.76038338658148,236.3738019169329,201.76038338658148,236.64,313,7
17,0.5666666666666667,True,200.4577922077922,238.98376623376623,200.4577922077922,237.23052959501558,308,7
18,0.6,True,198.87692307692308,236.64,198.87692307692308,236.64705882352942,325,7
19,0.6333333333333333,True,198.34954407294833,237.37386018237083,198.34954407294833,237.37386018237083,329,8
20,0.6666666666666666,True,196.73374613003097,236.64705882352942,197.47747747747746,237.37386018237083,323,8
21,0.7,True,196.4954128440367,239.15290519877675,196.73374613003097,239.15290519877675,327,7
22,0.7333333333333333,True,197.47747747747746,242.44744744744744,196.4954128440367,241.86238532110093,333,7
23,0.7666666666666667,True,195.58715596330276,241.86238532110093,196.4954128440367,242.44744744744744,327,7
24,0.8,True,195.69254658385094,243.63975155279502,196.73225806451612,243.63975155279502,322,7
25,0.8333333333333334,True,196.73225806451612,245.90322580645162,196.73225806451612,245.90322580645162,310,7
26,0.8666666666666667,True,197.4311377245509,247.52095808383234,197.4311377245509,247.52095808383234,334,7
27,0.9,True,198.00615384615384,249.80615384615385,197.4311377245509,247.52095808383234,325,7
28,0.9333333333333333,True,198.12951807228916,250.65060240963857,198.00615384615384,249.80615384615385,332,8
29,0.9666666666666667,True,188.09597523219813,238.27554179566565,198.12951807228916,250.65060240963857,323,8
30,1.0,True,200.13201320132012,254.58415841584159,200.13201320132012,254.58415841584159,303,7
31,1.0333333333333334,True,203.10034602076124,258.7128027681661,203.10034602076124,258.7128027681661,289,7
32,1.0666666666666667,True,204.25435540069685,260.30662020905925,204.25435540069685,259.1503759398496,287,7
33,1.1,True,218.03780068728523,264.4639175257732,205.04135338345864,259.1503759398496,291,8
34,1.1333333333333333,True,205.04135338345864,259.1503759398496,207.66666666666666,260.30662020905925,266,7
35,1.1666666666666667,True,216.22592592592594,256.8037037037037,209.1044776119403,260.55,270,8
36,1.2,True,207.66666666666666,260.55,209.1044776119403,260.55,240,7
37,1.2333333333333334,True,209.1044776119403,264.39925373134326,211.21328671328672,264.39925373134326,268,7
38,1.2666666666666666,True,219.65480427046262,264.48398576512454,211.21328671328672,264.48398576512454,281,8
39,1.3,True,211.21328671328672,268.1223776223776,211.66666666666666,268.1223776223776,286,7
40,1.3333333333333333,True,211.66666666666666,270.8125,211.66666666666666,270.8125,288,7
41,1.3666666666666667,True,219.54794520547946,272.15410958904107,211.21328671328672,272.15410958904107,292,8
42,1.4,True,210.68367346938774,272.9557823129252,210.68367346938774,272.3103448275862,294,7
43,1.4333333333333333,True,210.64417177914112,275.5276073619632,210.64417177914112,272.9557823129252,326,7
44,1.4666666666666666,True,207.43573667711598,272.3103448275862,209.72121212121212,275.5276073619632,319,8
45,1.5,True,209.72121212121212,279.9818181818182,207.43573667711598,276.8187702265372,330,7
46,1.5333333333333334,True,205.8770226537217,276.8187702265372,207.43573667711598,277.02222222222224,309,8
47,1.5666666666666667,True,205.93650793650792,277.02222222222224,205.93650793650792,277.02222222222224,315,8
48,1.6,True,208.15131578947367,284.3355263157895,205.8770226537217,277.02222222222224,304,7
49,1.6333333333333333,True,197.76764705882354,270.9764705882353,205.85897435897436,284.3355263157895,340,8
50,1.6666666666666667,True,205.76825396825396,285.25079365079364,205.76825396825396,285.25079365079364,315,7
51,1.7,True,205.85897435897436,286.79487179487177,205.76825396825396,285.64285714285717,312,7
52,1.7333333333333334,True,203.88924050632912,286.5126582278481,205.76825396825396,286.5126582278481,316,7
53,1.7666666666666666,True,211.66459627329192,285.64285714285717,204.03846153846155,286.79487179487177,322,8
54,1.8,True,204.03846153846155,289.7692307692308,204.03846153846155,289.7692307692308,312,7
55,1.8333333333333333,True,203.49346405228758,291.2712418300654,204.44144144144144,291.2712418300654,306,7
56,1.8666666666666667,True,204.54128440366972,293.5902140672783,204.44144144144144,291.9335260115607,327,7
57,1.9,True,204.44144144144144,294.9009009009009,204.54128440366972,293.5902140672783,333,7
58,1.9333333333333333,True,211.82658959537574,291.9335260115607,207.25766871165644,294.9009009009009,346,8
59,1.9666666666666666,True,207.25766871165644,298.7546012269939,208.63057324840764,298.7546012269939,326,7
60,2.0,True,208.63057324840764,300.2738853503185,209.99668874172184,300.2738853503185,314,7
61,2.033333333333333,True,209.99668874172184,301.6225165562914,209.99668874172184,301.6225165562914,302,7
62,2.066666666666667,True,212.3856209150327,303.421568627451,212.3856209150327,303.421568627451,306,7
63,2.1,True,214.67905405405406,304.89527027027026,214.67905405405406,304.89527027027026,296,7
64,2.1333333333333333,True,218.22772277227722,307.2772277227723,218.22772277227722,306.6204379562044,303,7
65,2.1666666666666665,True,218.2919708029197,306.6204379562044,218.2919708029197,307.2772277227723,274,7
66,2.2,True,221.16423357664235,308.1824817518248,221.16423357664235,308.0035842293907,274,7
67,2.2333333333333334,True,221.76344086021504,308.0035842293907,221.76344086021504,308.1824817518248,279,7
68,2.2666666666666666,True,224.11552346570397,308.7148014440433,224.11552346570397,308.7148014440433,277,7
69,2.3,True,225.84674329501917,309.9310344827586,225.84674329501917,309.9310344827586,261,7
70,2.3333333333333335,True,227.97692307692307,311.6115384615385,227.67330677290838,310.7051792828685,260,7
71,2.3666666666666667,True,227.67330677290838,310.7051792828685,227.97692307692307,310.7723577235772,251,7
72,2.4,True,228.21951219512195,310.7723577235772,228.21951219512195,311.6115384615385,246,7
73,2.433333333333333,True,230.28235294117647,313.3529411764706,230.28235294117647,313.3529411764706,255,7
74,2.466666666666667,True,233.02230483271376,317.2825278810409,230.28235294117647,313.3529411764706,269,7
75,2.5,True,231.27756653992395,316.11787072243345,231.27756653992395,316.11787072243345,263,7
76,2.533333333333333,True,230.2103448275862,312.9344827586207,232.52363636363637,317.2825278810409,290,8
77,2.566666666666667,True,232.52363636363637,320.13454545454545,232.52363636363637,320.13454545454545,275,7
78,2.6,True,232.5632911392405,321.4335443037975,232.5632911392405,321.4335443037975,316,7
79,2.6333333333333333,True,234.56037151702787,324.77089783281735,234.17857142857142,324.77089783281735,323,7
80,2.6666666666666665,True,234.55448717948718,327.40064102564105,234.17857142857142,324.77089783281735,312,7
81,2.7,True,234.17857142857142,328.0584415584416,234.17857142857142,327.40064102564105,308,7
82,2.7333333333333334,True,229.69745222929936,323.7229299363057,234.06209150326796,328.0584415584416,314,8
83,2.7666666666666666,True,234.06209150326796,331.72222222222223,233.59677419354838,331.72222222222223,306,7
84,2.8,True,233.59677419354838,333.3354838709677,232.48208469055373,332.7068403908795,310,7
85,2.8333333333333335,True,232.48208469055373,332.7068403908795,233.59677419354838,332.7068403908795,307,7
86,2.8666666666666667,True,231.83636363636364,333.8290909090909,232.48208469055373,333.3354838709677,275,7
87,2.9,True,237.34154929577466,328.5422535211268,232.48208469055373,333.8290909090909,284,8
88,2.933333333333333,True,230.78547854785478,334.8976897689769,232.76872964169382,334.8976897689769,303,7
89,2.966666666666667,True,232.76872964169382,336.7361563517915,233.52287581699346,336.7361563517915,307,7
90,3.0,True,233.52287581699346,337.6928104575163,233.52287581699346,337.6928104575163,306,7
91,3.033333333333333,True,235.57728706624604,339.4826498422713,235.57728706624604,339.4826498422713,317,7
92,3.066666666666667,True,237.53642384105962,340.26490066225165,237.53642384105962,340.26490066225165,302,7
93,3.1,True,237.9798657718121,341.2751677852349,237.9798657718121,341.2751677852349,298,7
94,3.1333333333333333,True,240.58544303797467,342.4873417721519,240.58544303797467,342.4873417721519,316,7
