frame_index,time_s,detected,x_px,y_px,x_smooth_px,y_smooth_px,red_area_px,component_count
0,0.0,True,467.28125,310.39285714285717,468.0243902439024,311.7787610619469,224,7
1,0.03333333333333333,True,468.0243902439024,312.90731707317076,468.97900928124324,311.08580910240204,205,7
2,0.06666666666666667,True,469.93362831858406,311.7787610619469,469.93362831858406,310.39285714285717,226,7
3,0.1,True,473.9429824561403,305.21491228070175,473.9429824561403,307.23478260869564,228,7
4,0.13333333333333333,True,474.295652173913,307.23478260869564,474.295652173913,305.21491228070175,230,7
5,0.16666666666666666,True,475.7113821138211,303.8455284552846,475.7113821138211,305.21491228070175,246,7
6,0.2,True,477.92946058091286,304.2240663900415,477.92946058091286,305.4749034749035,241,7
7,0.23333333333333334,True,478.10599078341016,308.47926267281105,478.10599078341016,304.2240663900415,217,7
8,0.26666666666666666,True,478.7644787644788,305.4749034749035,478.7644787644788,304.2240663900415,259,7
9,0.3,True,481.7625,304.2083333333333,481.7625,304.2083333333333,240,7
10,0.3333333333333333,True,481.9102564102564,303.45726495726495,481.9102564102564,303.45726495726495,234,7
11,0.36666666666666664,True,482.2033195020747,302.7551867219917,482.2033195020747,302.7551867219917,241,7
12,0.4,True,483.02564102564105,299.3931623931624,483.02564102564105,299.3931623931624,234,7
13,0.43333333333333335,True,483.1622807017544,297.42543859649123,483.1622807017544,297.42543859649123,228,7
14,0.4666666666666667,True,484.05333333333334,297.0,483.9782608695652,297.0,225,7
15,0.5,True,485.0305676855895,295.06113537117903,484.05333333333334,295.06113537117903,229,7
16,0.5333333333333333,True,483.9782608695652,289.74782608695654,484.05333333333334,290.3273542600897,230,7
17,0.5666666666666667,True,484.390134529148,290.3273542600897,483.9782608695652,289.74782608695654,223,7
18,0.6,True,483.6081081081081,282.9234234234234,483.6081081081081,282.9234234234234,222,7
19,0.6333333333333333,True,482.9490740740741,282.84722222222223,482.9490740740741,282.84722222222223,216,7
20,0.6666666666666666,True,482.35779816513764,277.9633027522936,482.35779816513764,279.5260663507109,218,7
21,0.7,True,481.81042654028437,279.5260663507109,481.81042654028437,277.9633027522936,211,7
22,0.7333333333333333,True,481.3705583756345,276.3502538071066,481.3705583756345,276.3502538071066,197,7
23,0.7666666666666667,True,481.24,274.3,481.24,274.3,200,7
24,0.8,True,480.95391705069125,273.68202764976957,481.24,273.68202764976957,217,7
25,0.8333333333333334,True,480.62735849056605,271.8443396226415,480.95391705069125,271.8443396226415,212,7
