frame_index,time_s,detected,x_px,y_px,x_smooth_px,y_smooth_px,red_area_px,component_count
0,0.0,True,396.775,333.5785714285714,397.3956043956044,331.5567765567766,280,7
1,0.03333333333333333,True,397.3956043956044,331.5567765567766,398.14416235105887,329.725558089709,273,7
2,0.06666666666666667,True,399.6528301886792,327.8943396226415,398.53284671532845,328.51824817518246,265,7
3,0.1,True,398.8927203065134,327.69731800766283,398.8927203065134,327.8943396226415,261,7
4,0.13333333333333333,True,398.53284671532845,328.51824817518246,399.6528301886792,327.69731800766283,274,7
5,0.16666666666666666,True,400.95932203389833,324.8915254237288,400.95932203389833,324.8915254237288,295,7
6,0.2,True,402.0355871886121,324.5302491103203,402.0355871886121,324.5302491103203,281,7
7,0.23333333333333334,True,413.335593220339,314.7932203389831,408.3636363636364,319.72727272727275,295,8
8,0.26666666666666666,True,408.3636363636364,319.72727272727275,409.95379537953795,319.0748299319728,308,7
9,0.3,True,409.95379537953795,318.7524752475247,412.3741496598639,319.0748299319728,303,7
10,0.3333333333333333,True,412.3741496598639,319.0748299319728,412.3741496598639,319.0748299319728,294,7
11,0.36666666666666664,True,414.39179104477614,319.42164179104475,414.39179104477614,318.7524752475247,268,7
12,0.4,True,416.4633333333333,314.9266666666667,416.45205479452056,317.2157534246575,300,7
13,0.43333333333333335,True,416.45205479452056,317.2157534246575,416.4633333333333,316.71794871794873,292,7
14,0.4666666666666667,True,418.8144329896907,313.39862542955325,418.8144329896907,316.1042471042471,291,7
15,0.5,True,420.13919413919416,316.71794871794873,420.13919413919416,316.1042471042471,273,7
16,0.5333333333333333,True,422.2857142857143,316.1042471042471,421.6484375,315.5625,259,7
17,0.5666666666666667,True,421.6484375,315.5625,422.2857142857143,315.5625,256,7
18,0.6,True,422.5813953488372,312.30232558139534,422.5813953488372,314.30313588850174,258,7
19,0.6333333333333333,True,423.20905923344947,314.30313588850174,423.20905923344947,312.30232558139534,287,7
20,0.6666666666666666,True,423.63793103448273,310.6965517241379,423.63793103448273,310.6965517241379,290,7
21,0.7,True,424.2993421052632,309.3782894736842,424.2993421052632,309.3782894736842,304,7
22,0.7333333333333333,True,424.72108843537416,308.01020408163265,424.72108843537416,308.01020408163265,294,7
23,0.7666666666666667,True,425.4738805970149,307.3134328358209,425.2957746478873,307.3134328358209,268,7
24,0.8,True,426.2958801498127,306.62546816479403,425.4738805970149,306.62546816479403,267,7
25,0.8333333333333334,True,425.2957746478873,300.9964788732394,425.4738805970149,300.9964788732394,284,7
26,0.8666666666666667,True,425.8007246376812,296.963768115942,425.46067415730334,298.1048689138577,276,7
27,0.9,True,425.46067415730334,298.1048689138577,425.2957746478873,296.963768115942,267,7
28,0.9333333333333333,True,425.0892857142857,294.38928571428573,425.0892857142857,294.38928571428573,280,7
29,0.9666666666666667,True,424.455938697318,293.9961685823755,424.455938697318,293.9961685823755,261,7
30,1.0,True,419.3763440860215,274.752688172043,423.68897637795277,289.40551181102364,279,9
31,1.0333333333333334,True,423.68897637795277,289.40551181102364,423.68897637795277,287.308,254,7
32,1.0666666666666667,True,423.504,287.308,423.504,285.34016393442624,250,7
33,1.1,True,429.87704918032784,285.34016393442624,423.68897637795277,285.34016393442624,244,8
34,1.1333333333333333,True,410.90909090909093,275.74242424242425,423.7350427350427,282.5982905982906,264,8
35,1.1666666666666667,True,423.75,282.54615384615386,423.75,282.54615384615386,260,7
36,1.2,True,423.7350427350427,282.5982905982906,423.75,279.5472440944882,234,7
37,1.2333333333333334,True,425.5781818181818,274.85818181818183,424.8543307086614,279.5472440944882,275,7
38,1.2666666666666666,True,424.8543307086614,279.5472440944882,424.8543307086614,274.85818181818183,254,7
39,1.3,True,427.0865051903114,272.8269896193772,425.5781818181818,273.61423220973785,289,7
40,1.3333333333333333,True,415.01413427561835,267.07773851590105,424.8543307086614,272.8269896193772,283,8
41,1.3666666666666667,True,428.67041198501875,273.61423220973785,427.0865051903114,270.018115942029,267,7
42,1.4,True,417.812030075188,267.1954887218045,428.67041198501875,267.1954887218045,266,8
43,1.4333333333333333,True,430.9963768115942,270.018115942029,430.9963768115942,267.1954887218045,276,7
44,1.4666666666666666,True,431.94565217391306,266.7427536231884,431.94565217391306,266.7427536231884,276,7
45,1.5,True,434.3333333333333,266.00701754385966,434.3333333333333,266.00701754385966,285,7
46,1.5333333333333334,True,435.28275862068966,265.35172413793106,435.28275862068966,265.35172413793106,290,7
47,1.5666666666666667,True,437.5496183206107,263.17557251908397,435.28275862068966,263.17557251908397,262,7
48,1.6,True,438.32217573221754,262.78242677824267,437.5496183206107,262.78242677824267,239,7
49,1.6333333333333333,True,432.69847328244276,257.5687022900763,437.98194945848377,257.5687022900763,262,8
50,1.6666666666666667,True,437.98194945848377,256.90613718411555,438.32217573221754,257.5687022900763,277,7
51,1.7,True,448.9618320610687,255.1259541984733,440.8988764044944,257.5687022900763,262,8
52,1.7333333333333334,True,440.8988764044944,260.83895131086143,440.8988764044944,256.9528985507246,267,7
53,1.7666666666666666,True,441.056338028169,258.84859154929575,440.8988764044944,256.9528985507246,284,7
54,1.8,True,440.42028985507244,256.9528985507246,440.8988764044944,256.9528985507246,276,7
55,1.8333333333333333,True,440.76363636363635,255.61454545454546,440.76363636363635,255.61454545454546,275,7
56,1.8666666666666667,True,445.8668941979522,251.8122866894198,440.42028985507244,253.2246376811594,293,8
57,1.9,True,440.30797101449275,253.2246376811594,440.30797101449275,251.8122866894198,276,7
58,1.9333333333333333,True,439.5128205128205,250.93772893772893,439.5128205128205,250.93772893772893,273,7
59,1.9666666666666666,True,437.8754716981132,246.3056603773585,437.8754716981132,246.3056603773585,265,7
60,2.0,True,435.410447761194,241.2537313432836,435.410447761194,242.12727272727273,268,7
61,2.033333333333333,True,435.35636363636365,242.12727272727273,435.410447761194,241.87956204379563,275,7
62,2.066666666666667,True,434.6459854014599,241.87956204379563,435.35636363636365,241.2537313432836,274,7
63,2.1,True,451.971119133574,226.8231046931408,434.6459854014599,238.65818181818182,277,8
64,2.1333333333333333,True,432.4218181818182,238.65818181818182,432.4218181818182,237.0084745762712,275,7
65,2.1666666666666665,True,431.14406779661016,237.0084745762712,431.14406779661016,234.63706563706563,236,7
66,2.2,True,430.57142857142856,234.63706563706563,431.14406779661016,234.63706563706563,259,7
67,2.2333333333333334,True,428.8333333333333,229.82993197278913,430.57142857142856,229.82993197278913,294,7
68,2.2666666666666666,True,438.2925925925926,228.7962962962963,428.8333333333333,229.13970588235293,270,8
69,2.3,True,427.7751937984496,227.7325581395349,428.2647058823529,228.7962962962963,258,7
70,2.3333333333333335,True,428.2647058823529,229.13970588235293,428.23426573426576,228.4020979020979,272,7
71,2.3666666666666667,True,428.23426573426576,228.4020979020979,428.23426573426576,227.7325581395349,286,7
72,2.4,True,427.6282527881041,223.70260223048328,428.2647058823529,225.10687022900763,269,7
73,2.433333333333333,True,428.31178707224336,222.99619771863118,428.31178707224336,223.70260223048328,263,7
