condition,video_name,summary_path,direction,command_type,target,metric_method,complete_lap_count,radius_m,yaw_rate_rad_s,speed_m_s,circle_rmse_m
forward_v017,clean_v_20260702_194718_w100_ew08_a20_targetv17_ppo_free_swim_freq_phase_run03.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_all_target_compare_color_full\clean_v_20260702_194718_w100_ew08_a20_targetv17_ppo_free_swim_freq_phase_run03\summary.json,forward,straight_speed,0.17,straight_fit,,,,0.16773880486240272,
forward_v017,clean_v_20260702_195426_w100_ew08_a20_targetv17_ppo_free_swim_freq_phase_run03.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_all_target_compare_color_full\clean_v_20260702_195426_w100_ew08_a20_targetv17_ppo_free_swim_freq_phase_run03\summary.json,forward,straight_speed,0.17,straight_fit,,,,0.1789633128631319,
forward_v017,clean_v_20260702_195536_w100_ew08_a20_targetv17_ppo_free_swim_freq_phase_run03.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_all_target_compare_color_full\clean_v_20260702_195536_w100_ew08_a20_targetv17_ppo_free_swim_freq_phase_run03\summary.json,forward,straight_speed,0.17,straight_fit,,,,0.1738565909524306,
left_r03,clean_v_20260702_195734_paper80_ppo_turn_left_a20_r03_run09.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_all_target_compare_color_full\clean_v_20260702_195734_paper80_ppo_turn_left_a20_r03_run09\summary.json,left,turn_radius,0.3,complete_lap_mean,1,0.3790992473677264,0.40012025605984586,,0.02538056957945294
left_r03,clean_v_20260702_200018_paper80_ppo_turn_left_a20_r03_run09.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_all_target_compare_color_full\clean_v_20260702_200018_paper80_ppo_turn_left_a20_r03_run09\summary.json,left,turn_radius,0.3,complete_lap_mean,2,0.39342939024767,0.4326246657140942,,0.02241182174294545
right_r03,clean_v_20260702_200230_paper80_ppo_turn_right_a20_r03_run09.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_all_target_compare_color_full\clean_v_20260702_200230_paper80_ppo_turn_right_a20_r03_run09\summary.json,right,turn_radius,0.3,complete_lap_mean,2,0.26934514407486243,0.5136249736606421,,0.027169707296787183
right_r03,clean_v_20260702_200359_paper80_ppo_turn_right_a20_r03_run09.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_all_target_compare_color_full\clean_v_20260702_200359_paper80_ppo_turn_right_a20_r03_run09\summary.json,right,turn_radius,0.3,complete_lap_mean,2,0.2812256826293728,0.49957655629732134,,0.02055357853176128
left_r05,clean_v_20260702_200605_paper_ppo_turn_left_a20_r05_run01.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_all_target_compare_color_full\clean_v_20260702_200605_paper_ppo_turn_left_a20_r05_run01\summary.json,left,turn_radius,0.5,complete_lap_mean,1,0.6476341715022056,0.2764156736750969,,0.03775386488005077
left_r05,clean_v_20260702_200817_paper_ppo_turn_left_a20_r05_run01.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_all_target_compare_color_full\clean_v_20260702_200817_paper_ppo_turn_left_a20_r05_run01\summary.json,left,turn_radius,0.5,complete_lap_mean,1,0.5992082620119595,0.2920839891430195,,0.02029606939885724
right_r05,clean_v_20260702_201029_paper_ppo_turn_right_a20_r05_run04.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_all_target_compare_color_full\clean_v_20260702_201029_paper_ppo_turn_right_a20_r05_run04\summary.json,right,turn_radius,0.5,complete_lap_mean,1,0.6041217150992979,0.2860150073077288,,0.048527208580135955
right_r05,clean_v_20260702_201134_paper_ppo_turn_right_a20_r05_run04.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_all_target_compare_color_full\clean_v_20260702_201134_paper_ppo_turn_right_a20_r05_run04\summary.json,right,turn_radius,0.5,complete_lap_mean,1,0.5422087901016184,0.3094473261123476,,0.02401466796473465
left_y07,clean_v_20260702_201310_paper80_ppo_turn_left_a20_y07_run02.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_all_target_compare_color_full\clean_v_20260702_201310_paper80_ppo_turn_left_a20_y07_run02\summary.json,left,yaw_rate,0.7,complete_lap_mean,2,0.31426288871148733,0.4868600741803051,,0.034731505171143214
left_y07,clean_v_20260702_201455_paper80_ppo_turn_left_a20_y07_run02.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_all_target_compare_color_full\clean_v_20260702_201455_paper80_ppo_turn_left_a20_y07_run02\summary.json,left,yaw_rate,0.7,complete_lap_mean,2,0.2911217948406619,0.5044372533783522,,0.021127934484331305
right_y07,clean_v_20260702_201628_paper80_ppo_turn_right_a20_y07_run07.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_all_target_compare_color_full\clean_v_20260702_201628_paper80_ppo_turn_right_a20_y07_run07\summary.json,right,yaw_rate,0.7,complete_lap_mean,2,0.28824584710455303,0.486481576575841,,0.01807409750011285
right_y07,clean_v_20260702_201739_paper80_ppo_turn_right_a20_y07_run07.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_all_target_compare_color_full\clean_v_20260702_201739_paper80_ppo_turn_right_a20_y07_run07\summary.json,right,yaw_rate,0.7,complete_lap_mean,2,0.2901760785616455,0.48582332576477166,,0.017953460851196805
left_y05,clean_v_20260702_201856_paper_ppo_turn_left_a20_y05_run08.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_all_target_compare_color_full\clean_v_20260702_201856_paper_ppo_turn_left_a20_y05_run08\summary.json,left,yaw_rate,0.5,complete_lap_mean,1,0.47208961708902486,0.3589893653774229,,0.032407556297677796
left_y05,clean_v_20260702_202110_paper_ppo_turn_left_a20_y05_run08.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_all_target_compare_color_full\clean_v_20260702_202110_paper_ppo_turn_left_a20_y05_run08\summary.json,left,yaw_rate,0.5,complete_lap_mean,1,0.5093517594402447,0.3200600878411313,,0.031358208318330576
right_y05,clean_v_20260702_202330_paper_ppo_turn_right_a20_y05_run04.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_all_target_compare_color_full\clean_v_20260702_202330_paper_ppo_turn_right_a20_y05_run04\summary.json,right,yaw_rate,0.5,complete_lap_mean,1,0.3652695013799071,0.4166267460349627,,0.01802868219792815
right_y05,clean_v_20260702_202504_paper_ppo_turn_right_a20_y05_run04.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_all_target_compare_color_full\clean_v_20260702_202504_paper_ppo_turn_right_a20_y05_run04\summary.json,right,yaw_rate,0.5,complete_lap_mean,1,0.3629348320171976,0.40888798908365714,,0.017576903181042672
left_r03,clean_v_20260702_225836_symmetric_turn_left_a20_r03_from_right_run09.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_symmetric_left_r03\clean_v_20260702_225836_symmetric_turn_left_a20_r03_from_right_run09\summary.json,left,turn_radius,0.3,complete_lap_mean,4,0.32858461698963437,0.4539632017898535,,0.027793491250075207
left_r03,clean_v_20260702_231446_paper80_ppo_turn_left_a20_r03_run09.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-02\new_20260702_left_r03_run09_231446\clean_v_20260702_231446_paper80_ppo_turn_left_a20_r03_run09\summary.json,left,turn_radius,0.3,complete_lap_mean,4,0.3627790064367391,0.41633592506576844,,0.02346490161023238
left_r03,clean_v_20260703_153405_paper80_ppo_turn_left_a20_r03_run09.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-03\new_left_turns_per_lap\clean_v_20260703_153405_paper80_ppo_turn_left_a20_r03_run09\summary.json,left,turn_radius,0.3,complete_lap_mean,1,0.34124101284760394,0.4356770495530047,,0.02628279080564847
left_r05,clean_v_20260703_153604_paper_ppo_turn_left_a20_r05_run01.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-03\new_left_turns_per_lap\clean_v_20260703_153604_paper_ppo_turn_left_a20_r05_run01\summary.json,left,turn_radius,0.5,complete_lap_mean,1,0.4875725490640158,0.3513376195936759,,0.02125233333521162
left_y05,clean_v_20260703_153758_paper_ppo_turn_left_a20_y05_run08.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-03\new_left_turns_per_lap\clean_v_20260703_153758_paper_ppo_turn_left_a20_y05_run08\summary.json,left,yaw_rate,0.5,complete_lap_mean,1,0.4040338569800408,0.362111644021808,,0.036736360884792686
left_y05,clean_v_20260703_154009_paper_ppo_turn_left_a20_y05_run08.mp4,C:\Users\ytyla\Documents\GitHub\robot_eel\real_movie_analysis\2026-07-03\new_left_turns_per_lap\clean_v_20260703_154009_paper_ppo_turn_left_a20_y05_run08\summary.json,left,yaw_rate,0.5,complete_lap_mean,1,0.4181780446563424,0.3813190166118597,,0.025276186929999393
