frame_index,time_s,detected,x_px,y_px,x_smooth_px,y_smooth_px,red_area_px,component_count
0,0.0,True,142.5301724137931,214.1594827586207,142.5301724137931,214.343347639485,232,7
1,0.03333333333333333,True,141.9240506329114,214.63291139240508,143.26294028414978,214.25141519905284,237,7
2,0.06666666666666667,True,143.99570815450645,214.343347639485,143.99570815450645,214.1594827586207,233,7
3,0.1,True,145.0855855855856,214.14864864864865,145.0855855855856,214.14864864864865,222,7
4,0.13333333333333333,True,147.52093023255813,213.71627906976744,145.0855855855856,214.1352657004831,215,7
5,0.16666666666666666,True,146.97345132743362,213.61946902654867,145.0855855855856,213.71627906976744,226,7
6,0.2,True,141.63768115942028,214.1352657004831,144.58189655172413,213.61946902654867,207,7
7,0.23333333333333334,True,144.58189655172413,212.73275862068965,142.9276595744681,212.73275862068965,232,7
8,0.26666666666666666,True,142.9276595744681,212.10212765957448,142.9276595744681,212.10212765957448,235,7
9,0.3,True,142.3920704845815,205.01762114537445,144.56331877729258,209.36681222707423,227,8
10,0.3333333333333333,True,144.56331877729258,209.36681222707423,142.9276595744681,207.865,229,7
11,0.36666666666666664,True,146.05,207.865,144.56331877729258,205.01762114537445,200,7
12,0.4,True,141.312,199.148,146.05,204.14830508474577,250,8
13,0.43333333333333335,True,148.91525423728814,204.14830508474577,148.91525423728814,202.77272727272728,236,7
14,0.4666666666666667,True,150.5,202.77272727272728,150.5,202.1255060728745,242,7
15,0.5,True,151.4331983805668,202.1255060728745,151.4331983805668,202.1255060728745,247,7
16,0.5333333333333333,True,152.16666666666666,200.760162601626,152.16666666666666,200.76335877862596,246,7
17,0.5666666666666667,True,153.1679389312977,200.76335877862596,153.1679389312977,200.760162601626,262,7
18,0.6,True,156.83783783783784,200.3166023166023,156.01123595505618,200.760162601626,259,7
19,0.6333333333333333,True,156.01123595505618,200.16479400749063,156.83783783783784,200.76335877862596,267,7
20,0.6666666666666666,True,167.21317829457365,203.95736434108528,156.83783783783784,200.3166023166023,258,8
21,0.7,True,166.97590361445782,203.43373493975903,164.914979757085,200.16479400749063,249,8
22,0.7333333333333333,True,155.172131147541,198.58196721311475,164.914979757085,198.58196721311475,244,7
23,0.7666666666666667,True,164.914979757085,194.48582995951418,156.348,197.47177419354838,247,8
24,0.8,True,154.45967741935485,197.47177419354838,156.28861788617886,197.108,248,7
25,0.8333333333333334,True,156.348,197.108,156.348,197.108,250,7
26,0.8666666666666667,True,156.28861788617886,197.10569105691056,156.348,197.47177419354838,246,7
27,0.9,True,159.10196078431372,198.82745098039214,159.10196078431372,198.748031496063,255,7
28,0.9333333333333333,True,161.72834645669292,198.748031496063,161.72834645669292,198.82745098039214,254,7
29,0.9666666666666667,True,164.675,200.45416666666668,164.675,200.45416666666668,240,7
30,1.0,True,167.65612648221344,201.74703557312253,167.65612648221344,201.74703557312253,253,7
31,1.0333333333333334,True,171.67578125,204.32421875,171.67578125,204.32421875,256,7
32,1.0666666666666667,True,173.34016393442624,205.20081967213116,173.34016393442624,205.20081967213116,244,7
33,1.1,True,174.65079365079364,205.84920634920636,174.65079365079364,205.84920634920636,252,7
34,1.1333333333333333,True,177.69327731092437,207.95378151260505,176.84453781512605,207.46218487394958,238,7
35,1.1666666666666667,True,176.84453781512605,207.46218487394958,177.69327731092437,207.46218487394958,238,7
36,1.2,True,179.27966101694915,208.88135593220338,177.69327731092437,207.46218487394958,236,7
37,1.2333333333333334,True,194.7767441860465,206.646511627907,176.84453781512605,206.97309417040358,215,8
38,1.2666666666666666,True,176.51162790697674,206.84186046511627,178.76525821596243,206.97309417040358,215,7
39,1.3,True,176.84304932735427,206.97309417040358,176.9596412556054,206.84186046511627,223,7
40,1.3333333333333333,True,178.76525821596243,207.05633802816902,176.9596412556054,206.84186046511627,213,7
41,1.3666666666666667,True,176.9596412556054,205.7219730941704,178.0681818181818,205.7219730941704,223,7
42,1.4,True,178.0681818181818,205.3181818181818,178.19742489270385,205.7219730941704,220,7
43,1.4333333333333333,True,178.19742489270385,199.78540772532187,178.19742489270385,205.3181818181818,233,8
44,1.4666666666666666,True,204.94650205761317,213.559670781893,184.14349775784754,203.38116591928252,243,8
45,1.5,True,184.14349775784754,203.38116591928252,184.14349775784754,199.78540772532187,223,7
46,1.5333333333333334,True,202.19004524886878,197.7285067873303,202.19004524886878,197.7285067873303,221,8
47,1.5666666666666667,True,176.23868312757202,192.2633744855967,190.0236220472441,197.7285067873303,243,9
48,1.6,True,203.9214876033058,193.74380165289256,190.53012048192772,197.7285067873303,242,9
49,1.6333333333333333,True,190.0236220472441,201.82677165354332,190.53012048192772,200.0187265917603,254,7
50,1.6666666666666667,True,190.53012048192772,200.21686746987953,192.5597014925373,200.0187265917603,249,7
51,1.7,True,192.65543071161048,200.0187265917603,192.5597014925373,200.21686746987953,267,7
52,1.7333333333333334,True,192.5597014925373,199.65671641791045,192.65543071161048,200.0187265917603,268,7
53,1.7666666666666666,True,194.7098976109215,202.18088737201364,192.6727272727273,199.65671641791045,293,7
54,1.8,True,192.6727272727273,196.52,194.66415094339624,198.73962264150944,275,8
55,1.8333333333333333,True,194.66415094339624,198.73962264150944,194.7098976109215,198.73962264150944,265,7
56,1.8666666666666667,True,196.35887096774192,197.76209677419354,196.35887096774192,198.73962264150944,248,7
57,1.9,True,210.73622047244095,202.98425196850394,197.28571428571428,199.01984126984127,254,8
58,1.9333333333333333,True,197.28571428571428,199.01984126984127,198.2568093385214,202.19844357976655,252,7
59,1.9666666666666666,True,198.2568093385214,202.19844357976655,200.38325991189427,202.98425196850394,257,7
60,2.0,True,217.87313432835822,211.41044776119404,200.38325991189427,203.44933920704847,268,8
61,2.033333333333333,True,200.38325991189427,203.44933920704847,201.9451476793249,203.44933920704847,227,7
62,2.066666666666667,True,201.9451476793249,205.73417721518987,202.4695652173913,205.73417721518987,237,7
63,2.1,True,217.45147679324896,201.9789029535865,202.4695652173913,205.73417721518987,237,8
64,2.1333333333333333,True,202.4695652173913,207.8608695652174,202.53526970954357,207.8608695652174,230,7
65,2.1666666666666665,True,202.53526970954357,208.65560165975103,204.02242152466368,207.9502262443439,241,7
66,2.2,True,221.49773755656108,207.9502262443439,204.02242152466368,207.9502262443439,221,8
67,2.2333333333333334,True,204.02242152466368,213.69058295964126,204.99532710280374,208.65560165975103,223,7
68,2.2666666666666666,True,232.08035714285714,205.38392857142858,204.99532710280374,213.69058295964126,224,8
69,2.3,True,204.99532710280374,217.1448598130841,204.99532710280374,216.32093023255814,214,7
70,2.3333333333333335,True,204.53953488372093,216.32093023255814,205.19024390243902,217.1448598130841,215,7
71,2.3666666666666667,True,205.19024390243902,217.4780487804878,205.19024390243902,217.4780487804878,205,7
72,2.4,True,207.16161616161617,220.84848484848484,206.1560975609756,217.55121951219513,198,7
73,2.433333333333333,True,206.1560975609756,217.55121951219513,207.16161616161617,219.98319327731093,205,7
74,2.466666666666667,True,209.29680365296804,221.94520547945206,208.57563025210084,219.98319327731093,219,7
75,2.5,True,208.57563025210084,219.98319327731093,209.29680365296804,219.98319327731093,238,7
76,2.533333333333333,True,210.13469387755103,213.64081632653063,210.13469387755103,221.94520547945206,245,9
77,2.566666666666667,True,213.36974789915968,224.99159663865547,213.36974789915968,224.40856031128405,238,7
78,2.6,True,215.26771653543307,225.75984251968504,215.26771653543307,224.99159663865547,254,7
79,2.6333333333333333,True,215.9260700389105,224.40856031128405,215.9260700389105,225.6060606060606,257,7
80,2.6666666666666665,True,226.07575757575756,225.6060606060606,220.27413127413126,225.6060606060606,264,8
81,2.7,True,220.27413127413126,226.12355212355212,221.09426229508196,225.6060606060606,259,7
82,2.7333333333333334,True,221.09426229508196,224.34426229508196,224.1735849056604,225.6060606060606,244,7
83,2.7666666666666666,True,224.1735849056604,225.79622641509434,224.1735849056604,224.34426229508196,265,7
84,2.8,True,234.312,222.6,226.72390572390572,224.34426229508196,250,8
85,2.8333333333333335,True,232.478431372549,222.0705882352941,227.36177474402731,225.79622641509434,255,8
86,2.8666666666666667,True,226.72390572390572,229.013468013468,227.5451263537906,227.7679180887372,297,7
87,2.9,True,227.36177474402731,227.7679180887372,227.5451263537906,227.7679180887372,293,7
88,2.933333333333333,True,227.5451263537906,227.93501805054152,227.5451263537906,227.7679180887372,277,7
89,2.966666666666667,True,228.81625441696113,225.74911660777386,228.81625441696113,227.7679180887372,283,7
90,3.0,True,241.4817518248175,223.992700729927,229.54022988505747,227.93501805054152,274,8
91,3.033333333333333,True,229.54022988505747,230.8582375478927,229.54022988505747,230.544776119403,261,7
92,3.066666666666667,True,248.53658536585365,231.86411149825784,229.54022988505747,230.8582375478927,287,9
93,3.1,True,229.48880597014926,230.544776119403,229.54022988505747,230.8582375478927,268,7
94,3.1333333333333333,True,229.52044609665427,232.7732342007435,229.52044609665427,231.86411149825784,269,7
95,3.1666666666666665,True,260.66112956810633,223.40199335548172,229.48880597014926,232.7732342007435,301,9
96,3.2,True,228.72332015810278,237.92885375494072,228.72332015810278,237.92885375494072,253,7
97,3.2333333333333334,True,228.10546875,240.98828125,228.10546875,240.8171206225681,256,7
98,3.2666666666666666,True,227.70817120622567,240.8171206225681,227.70817120622567,240.98828125,257,7
99,3.3,True,227.01454545454544,244.52727272727273,227.26819923371647,242.084,275,7
100,3.3333333333333335,True,227.26819923371647,242.35632183908046,227.06,242.084,261,7
101,3.3666666666666667,True,227.06,242.084,227.01454545454544,242.35632183908046,250,7
102,3.4,True,226.98283261802575,241.60515021459227,226.98283261802575,242.084,233,7
103,3.433333333333333,True,226.1904761904762,243.15151515151516,226.1904761904762,242.084,231,7
104,3.466666666666667,True,223.0722891566265,239.4578313253012,225.640625,243.15151515151516,249,8
105,3.5,True,225.640625,247.546875,225.5040322580645,247.546875,256,7
106,3.533333333333333,True,225.23868312757202,251.06584362139918,225.5040322580645,251.06584362139918,243,7
107,3.566666666666667,True,225.5040322580645,254.53629032258064,225.640625,254.53629032258064,248,7
108,3.6,True,226.11618257261412,255.19502074688796,226.11618257261412,254.53629032258064,241,7
109,3.6333333333333333,True,226.58846153846153,257.7153846153846,226.58846153846153,255.19502074688796,260,7
110,3.6666666666666665,True,241.80223880597015,252.3917910447761,229.39183673469387,257.7153846153846,268,8
111,3.7,True,229.39183673469387,260.21632653061226,233.3764258555133,258.3992248062016,245,7
112,3.7333333333333334,True,247.83333333333334,258.3992248062016,235.7826086956522,259.9771863117871,258,9
113,3.7666666666666666,True,233.3764258555133,259.9771863117871,233.3764258555133,259.9771863117871,263,7
114,3.8,True,235.7826086956522,260.80632411067194,235.7826086956522,259.9771863117871,253,7
115,3.8333333333333335,True,229.54440154440155,251.86872586872587,235.7826086956522,260.80632411067194,259,8
116,3.8666666666666667,True,236.3049645390071,265.9148936170213,236.3049645390071,265.7854671280277,282,7
117,3.9,True,237.73356401384083,265.7854671280277,237.68402777777777,265.9148936170213,289,7
118,3.933333333333333,True,238.67128027681662,266.98615916955015,237.73356401384083,266.98615916955015,289,7
119,3.966666666666667,True,237.68402777777777,269.27777777777777,238.6101083032491,267.8014440433213,288,7
120,4.0,True,238.6101083032491,267.8014440433213,238.65416666666667,268.45,277,7
121,4.033333333333333,True,238.65416666666667,268.45,238.65416666666667,268.45,240,7
122,4.066666666666666,True,238.86666666666667,269.75925925925924,238.86666666666667,268.45,270,7
123,4.1,True,252.635687732342,263.8996282527881,239.07171314741035,269.75925925925924,269,8
124,4.133333333333334,True,239.07171314741035,271.54183266932273,239.2996254681648,271.54183266932273,251,7
125,4.166666666666667,True,239.2996254681648,272.3707865168539,239.7829457364341,271.9045643153527,267,7
126,4.2,True,239.7829457364341,272.57751937984494,239.2996254681648,272.3707865168539,258,7
127,4.233333333333333,True,242.84647302904565,271.9045643153527,239.2996254681648,272.3707865168539,241,7
128,4.266666666666667,True,236.7686274509804,275.87450980392157,236.7686274509804,272.57751937984494,255,7
129,4.3,True,233.59541984732823,271.35496183206106,233.84328358208955,275.87450980392157,262,8
130,4.333333333333333,True,233.84328358208955,279.02985074626866,233.84328358208955,275.87450980392157,268,7
131,4.366666666666666,True,232.01140684410646,280.680608365019,233.59541984732823,279.02985074626866,263,7
132,4.4,True,256.18279569892474,270.1505376344086,232.01140684410646,280.680608365019,279,8
133,4.433333333333334,True,228.79182156133828,282.817843866171,228.90175438596492,282.4183266932271,269,7
134,4.466666666666667,True,228.90175438596492,282.5157894736842,228.79182156133828,282.4183266932271,285,7
135,4.5,True,228.14741035856574,282.4183266932271,228.14741035856574,282.5157894736842,251,7
136,4.533333333333333,True,224.28838951310863,279.0262172284644,226.3050847457627,282.5157894736842,267,8
137,4.566666666666666,True,226.3050847457627,284.1525423728813,224.28838951310863,282.4183266932271,236,7
138,4.6,True,221.67253521126761,289.07042253521126,222.38059701492537,284.1525423728813,284,7
139,4.633333333333334,True,218.65107913669064,281.1870503597122,222.3097014925373,288.9179104477612,278,8
